epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,162.533,0.68373,0.83308,1,0.42674,0.000474696,0.000474696,0.000474696
2,320.623,0.50607,0.85714,1,0.39486,0.000941615,0.000941615,0.000941615
3,479.641,0.49574,0.86992,1,0.38058,0.0013991,0.0013991,0.0013991
4,637.406,0.47134,0.72707,1,0.72514,0.00138656,0.00138656,0.00138656
5,795.357,0.42468,0.85038,1,0.39049,0.00137241,0.00137241,0.00137241
6,951.433,0.40601,0.66316,1,0.83096,0.00135826,0.00135826,0.00135826
7,1108.21,0.37906,0.83985,1,0.41661,0.00134412,0.00134412,0.00134412
8,1260.98,0.38592,0.84361,1,0.37764,0.00132997,0.00132997,0.00132997
9,1421.46,0.3328,0.89774,1,0.2843,0.00131582,0.00131582,0.00131582
10,1578.42,0.31475,0.91429,1,0.23703,0.00130168,0.00130168,0.00130168
11,1739.77,0.31217,0.91729,1,0.23726,0.00128753,0.00128753,0.00128753
12,1900.35,0.29697,0.89774,1,0.27728,0.00127338,0.00127338,0.00127338
13,2055.96,0.26603,0.91579,1,0.20906,0.00125923,0.00125923,0.00125923
14,2213.15,0.2686,0.9188,1,0.23176,0.00124509,0.00124509,0.00124509
15,2369.58,0.25379,0.89248,1,0.29305,0.00123094,0.00123094,0.00123094
16,2528.07,0.2309,0.88872,1,0.31683,0.00121679,0.00121679,0.00121679
17,2685.71,0.26315,0.9203,1,0.22183,0.00120265,0.00120265,0.00120265
18,2838.56,0.22922,0.92406,1,0.20154,0.0011885,0.0011885,0.0011885
19,2994.96,0.22464,0.89549,1,0.26105,0.00117435,0.00117435,0.00117435
20,3149.18,0.22331,0.90977,1,0.23243,0.00116021,0.00116021,0.00116021
21,3304.69,0.21319,0.92632,1,0.21152,0.00114606,0.00114606,0.00114606
22,3461.15,0.21408,0.91729,1,0.21241,0.00113191,0.00113191,0.00113191
23,3618.5,0.21316,0.93459,1,0.17545,0.00111776,0.00111776,0.00111776
24,3775.83,0.18054,0.92406,1,0.19853,0.00110362,0.00110362,0.00110362
25,3935.1,0.18392,0.93459,1,0.18814,0.00108947,0.00108947,0.00108947
26,4094.12,0.1805,0.92632,1,0.24088,0.00107532,0.00107532,0.00107532
27,4250.97,0.1653,0.9188,1,0.21633,0.00106118,0.00106118,0.00106118
28,4405.77,0.1924,0.92105,1,0.23781,0.00104703,0.00104703,0.00104703
29,4563.35,0.14477,0.9406,1,0.15215,0.00103288,0.00103288,0.00103288
30,4719.49,0.1685,0.90977,1,0.26314,0.00101873,0.00101873,0.00101873
31,4877.07,0.15599,0.93835,1,0.21302,0.00100459,0.00100459,0.00100459
32,5037.35,0.16441,0.93985,1,0.18004,0.00099044,0.00099044,0.00099044
33,5199.71,0.15079,0.93233,1,0.19536,0.000976293,0.000976293,0.000976293
34,5360.61,0.13789,0.93308,1,0.1923,0.000962146,0.000962146,0.000962146
35,5520.25,0.15488,0.9391,1,0.17244,0.000947999,0.000947999,0.000947999
36,5682.29,0.13109,0.94662,1,0.17154,0.000933851,0.000933851,0.000933851
37,5840.18,0.13525,0.94586,1,0.16219,0.000919704,0.000919704,0.000919704
38,5995.36,0.13348,0.9203,1,0.2128,0.000905557,0.000905557,0.000905557
39,6151.66,0.1391,0.93609,1,0.17893,0.00089141,0.00089141,0.00089141
40,6306.91,0.11742,0.94135,1,0.16984,0.000877263,0.000877263,0.000877263
41,6467.03,0.11297,0.9391,1,0.21313,0.000863116,0.000863116,0.000863116
42,6624.89,0.12108,0.94511,1,0.1627,0.000848969,0.000848969,0.000848969
43,6782.25,0.11423,0.94361,1,0.17805,0.000834822,0.000834822,0.000834822
44,6938.13,0.11212,0.94436,1,0.17728,0.000820675,0.000820675,0.000820675
45,7092.63,0.11034,0.92782,1,0.23493,0.000806528,0.000806528,0.000806528
46,7250.63,0.11347,0.94586,1,0.15388,0.00079238,0.00079238,0.00079238
47,7408.18,0.106,0.93534,1,0.16974,0.000778233,0.000778233,0.000778233
48,7564.63,0.10174,0.9218,1,0.21415,0.000764086,0.000764086,0.000764086
49,7718.75,0.09752,0.94511,1,0.17884,0.000749939,0.000749939,0.000749939
50,7873.81,0.10808,0.94286,1,0.18433,0.000735792,0.000735792,0.000735792
51,8029.45,0.09853,0.94211,1,0.17274,0.000721645,0.000721645,0.000721645
52,8184.97,0.09296,0.94586,1,0.17481,0.000707498,0.000707498,0.000707498
53,8340.84,0.087,0.92632,1,0.26034,0.000693351,0.000693351,0.000693351
54,8494.16,0.09712,0.94286,1,0.1791,0.000679204,0.000679204,0.000679204
55,8651.44,0.08071,0.93459,1,0.20907,0.000665057,0.000665057,0.000665057
56,8805.1,0.09429,0.94887,1,0.15619,0.000650909,0.000650909,0.000650909
57,8961.85,0.06893,0.94812,1,0.16984,0.000636762,0.000636762,0.000636762
58,9119.15,0.08439,0.93835,1,0.17938,0.000622615,0.000622615,0.000622615
